"currency","clusters"
"USD_EUR",1
"USD_AUD",2
"USD_AOA",3
"USD_BWP",1
"USD_EGP",1
"USD_GHS",1
"USD_KES",1
"USD_MAD",1
"USD_MZN",1
"USD_NGN",1
"USD_ZAR",1
"USD_TZS",1
"USD_UGX",1
"USD_ZMW",1
"USD_GOD",4
"USD_OIL",5
"USD_PLA",5
"USD_SIL",4
"USD_PD",3
"CAD_AOA",3
"CAD_BWP",1
"CAD_EGP",1
"CAD_GHS",1
"CAD_KES",4
"CAD_MAD",4
"CAD_MZN",1
"CAD_NGN",1
"CAD_ZAR",1
"CAD_TZS",1
"CAD_UGX",1
"CAD_ZMW",1
"EUR_AOA",3
"EUR_BWP",1
"EUR_EGP",1
"EUR_GHS",1
"EUR_KES",4
"EUR_MAD",6
"EUR_MZN",1
"EUR_NGN",1
"EUR_ZAR",1
"EUR_TZS",1
"EUR_UGX",1
"EUR_ZMW",1
"AUD_AOA",3
"AUD_BWP",1
"AUD_EGP",1
"AUD_GHS",1
"AUD_KES",4
"AUD_MAD",4
"AUD_MZN",1
"AUD_NGN",1
"AUD_ZAR",1
"AUD_TZS",1
"AUD_UGX",1
"AUD_ZMW",1
"T_YIELD",6
